file,modality,area_px,major_axis_px,minor_axis_px,bbox_h_px,bbox_w_px,bbox_short_px,bbox_long_px,orientation_deg,eccentricity
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,2832.0,645.4111567988483,59.372133627809404,516,227,227,516,24.598788838553485,0.9957598218845445
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,2159.0,486.736355643976,25.084493660536946,392,184,184,392,27.063326733781768,0.9986711322364299
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,3022.0,351.12936548680875,53.444458930452754,319,154,154,319,26.843501735189804,0.988348588505302
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,304.0,71.93305198098584,6.077633215205833,57,41,41,57,-36.98855872795284,0.9964243158529711
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,341.0,91.30168795971495,6.550853941976231,81,16,16,81,8.304059466397371,0.9974226806011275
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,430.0,110.03550896066461,5.588501948674715,101,12,12,101,5.303383114264993,0.9987094482181357
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,392.0,118.36032444499935,9.122448227549809,114,11,11,114,1.778680974953288,0.9970254112604284
S1A_IW_GRDH_1SDV_20230802T215711_20230802T215736_049702_05FA08_6E0E.SAFE.png,SAR,309.0,80.01760492379196,5.250667882157281,63,42,42,63,32.437706164284585,0.9978447568984772
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,2919.0,604.7490335718126,67.11476719707414,463,262,262,463,30.05790048332668,0.9938226917157316
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,821.0,157.68715930215316,8.0976400552684,113,91,91,113,41.19420591020339,0.9986805866219571
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,607.0,120.65945740906318,12.907789351632417,84,69,69,84,39.259256812293586,0.9942614932212467
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,630.0,128.36738980906605,10.57691744852204,118,19,19,118,4.579034790908899,0.9965996955168699
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,481.0,98.4334220878914,6.720582545913953,89,30,30,89,16.55221087884308,0.9976665114054265
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,633.0,127.1454905252966,8.010376998492232,77,94,77,94,50.0213718469117,0.9980134221560673
S1A_IW_GRDH_1SDV_20230814T215712_20230814T215737_049877_05FFCD_3093.SAFE.png,SAR,1036.0,207.7746554033072,25.876490053879678,144,122,122,144,36.17632517174857,0.9922144462345014
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,3800.0,587.8309245994673,91.03812458387358,511,250,250,511,28.56735447932118,0.9879346579008733
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,1225.0,253.00317217414457,8.293458953115856,202,113,113,202,28.637305680509147,0.999462589455482
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,427.0,127.46587732486604,5.734535055542261,110,44,44,110,21.575604439149895,0.9989874919885555
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,445.0,100.67666292418063,6.925467417171734,94,9,9,94,0.12871335882860266,0.9976312171998257
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,1426.0,319.9618426140319,29.943844375433034,244,160,160,244,35.514047945068484,0.9956112302546064
S1A_IW_GRDH_1SDV_20230821T214922_20230821T214947_049979_06034E_AEA0.SAFE.png,SAR,744.0,147.43315488451523,7.893340376500435,113,88,88,113,38.88962683977836,0.9985657895101471
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,2894.0,542.840425427657,19.97348454322361,403,271,271,403,33.88055062941323,0.9993228570203281
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,584.0,146.68278331344473,8.61814661981092,126,54,54,126,25.296510674494098,0.9982725131184393
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,2605.0,523.3318044677048,12.697232030142095,376,268,268,376,35.43747606710661,0.99970562712773
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,1802.0,405.50365132190586,12.939210233076025,312,183,183,312,30.06686068447035,0.9994907786609012
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,652.0,130.80225778188745,8.078443427064768,93,82,82,93,43.179271558819856,0.9980909837068643
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,2493.0,481.2875568034763,24.72881726592149,357,255,255,357,34.96694263906653,0.998679147440448
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,405.0,87.93899053435028,7.343418733779102,70,45,45,70,31.17650475254764,0.9965072883379145
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,675.0,148.65226779740027,14.773146167577984,117,73,73,117,32.572767324087984,0.9950494980454776
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,853.0,194.3109648982571,7.058228648640911,149,95,95,149,33.0355851373647,0.9993400513217575
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,382.0,80.69512324664464,7.031298469353913,79,20,20,79,13.685180867292821,0.9961965896905816
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,504.0,109.01010289773575,6.291086037336745,81,61,61,81,35.908508054468484,0.9983333292319568
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,506.0,115.01124107591028,7.062535498376632,94,52,52,94,29.657673356635684,0.9981127879176517
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,645.0,132.99877247350568,8.483374084540362,113,52,52,113,26.199157855496857,0.9979636407838799
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,505.0,139.43735235100073,6.582080160850616,130,14,14,130,4.691904894017469,0.9988852429774009
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,776.0,218.65513260640927,18.61024978424917,196,30,30,196,7.238035561536706,0.9963713613604291
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,432.0,96.89841939590823,6.80053896647041,77,47,47,77,29.297869598563338,0.9975341931264005
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,348.0,121.18908989405209,4.520556674971459,106,15,15,106,6.387249159153201,0.99930405015403
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,1142.0,222.17650472701015,17.86279464375232,161,124,124,161,34.491883506426234,0.9967627511586691
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,1526.0,384.42855685981357,32.08809614006371,286,179,179,286,32.78827553681781,0.9965103243955502
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,689.0,176.10893118404354,12.979353016607426,145,72,72,145,24.759451625932392,0.9972804046775934
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,391.0,98.26587160304709,5.770637576555971,83,39,39,83,25.031000040884326,0.9982742133963493
S1A_IW_GRDH_1SDV_20230902T214923_20230902T214948_050154_060951_FC71.SAFE.png,SAR,349.0,88.35799948473183,5.619210835085308,71,35,35,71,24.798706466030154,0.9979757287940377
S1A_IW_GRDH_1SDV_20230902T214948_20230902T215013_050154_060951_74AB.SAFE.png,SAR,3590.0,357.15694402161836,36.970855458710645,346,101,101,346,13.631538688381559,0.9946279641857453
S1A_IW_GRDH_1SDV_20230902T214948_20230902T215013_050154_060951_74AB.SAFE.png,SAR,358.0,84.64162736758368,5.77730596249027,75,24,24,75,18.20719215051833,0.9976678340519112
